epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0884,0.55414,3.48539,1.0837,0.38056,0.44891,0.39023,0.32796,0.56354,2.26117,1.18825,0.000194676,0.000194676,0.000194676
2,29.3771,0.56772,2.55636,1.08073,0.53059,0.57206,0.62144,0.50695,0.5945,1.61933,1.2372,0.000386808,0.000386808,0.000386808
3,42.5838,0.58849,2.11641,1.09014,0.68267,0.62202,0.68057,0.55142,0.72091,1.6335,1.38902,0.000575059,0.000575059,0.000575059
4,55.5997,0.58256,1.89538,1.06429,0.72117,0.66394,0.77222,0.65487,0.63185,1.45855,1.31326,0.000570536,0.000570536,0.000570536
5,68.5439,0.56203,1.75466,1.05788,0.65486,0.79448,0.78974,0.67276,0.5981,1.32243,1.28274,0.000564715,0.000564715,0.000564715
6,81.582,0.55199,1.59984,1.05379,0.75364,0.818,0.84263,0.71986,0.58129,1.11106,1.21392,0.000558894,0.000558894,0.000558894
7,94.5633,0.53805,1.5519,1.04461,0.71819,0.80085,0.80966,0.69373,0.58015,1.242,1.22625,0.000553073,0.000553073,0.000553073
8,107.18,0.53151,1.49044,1.04274,0.81293,0.80724,0.84825,0.71633,0.60333,1.05432,1.27405,0.000547252,0.000547252,0.000547252
9,120.186,0.50983,1.3462,1.03296,0.77506,0.77171,0.82147,0.69011,0.60829,1.05801,1.23457,0.00054143,0.00054143,0.00054143
10,133.256,0.49881,1.31425,1.01578,0.81586,0.80375,0.85117,0.74724,0.50385,1.03702,1.12579,0.000535609,0.000535609,0.000535609
11,146.205,0.52389,1.28348,1.0444,0.82033,0.80092,0.88603,0.76824,0.54192,0.92911,1.15031,0.000529788,0.000529788,0.000529788
12,159.267,0.48938,1.20569,1.01014,0.80166,0.81891,0.86598,0.75791,0.50006,0.95926,1.12099,0.000523967,0.000523967,0.000523967
13,172.539,0.48085,1.18797,1.00836,0.82351,0.83075,0.87555,0.78465,0.51906,0.80167,1.13265,0.000518146,0.000518146,0.000518146
14,185.61,0.46936,1.09611,1.00086,0.86208,0.86755,0.90488,0.80826,0.53113,0.78057,1.12652,0.000512324,0.000512324,0.000512324
15,199.085,0.46473,1.08893,1.00308,0.81552,0.82186,0.8828,0.78863,0.46837,0.85432,1.08264,0.000506503,0.000506503,0.000506503
16,212.086,0.4718,1.04898,0.99751,0.80415,0.89077,0.8985,0.80485,0.50816,0.83494,1.14937,0.000500682,0.000500682,0.000500682
17,225.137,0.4592,0.99289,0.98515,0.89873,0.8424,0.91383,0.82497,0.47301,0.77651,1.06596,0.000494861,0.000494861,0.000494861
18,238.403,0.45942,0.99025,1.00161,0.82861,0.86341,0.8896,0.80094,0.51327,0.82881,1.16172,0.00048904,0.00048904,0.00048904
19,251.404,0.45055,0.97666,0.9836,0.82953,0.88393,0.9166,0.8248,0.45254,0.78745,1.10364,0.000483218,0.000483218,0.000483218
20,267.125,0.46112,0.96388,0.99622,0.88233,0.84425,0.91021,0.81396,0.46147,0.72078,1.09334,0.000477397,0.000477397,0.000477397
21,281.886,0.44716,0.95154,0.99337,0.87433,0.82799,0.90238,0.81223,0.4396,0.80682,1.05649,0.000471576,0.000471576,0.000471576
22,296.859,0.4429,0.88148,0.98429,0.89252,0.84711,0.92196,0.84131,0.42853,0.72932,1.03601,0.000465755,0.000465755,0.000465755
23,311.095,0.42549,0.846,0.97057,0.9133,0.88712,0.91764,0.83789,0.45058,0.7149,1.06258,0.000459934,0.000459934,0.000459934
24,325.606,0.42935,0.82519,0.97271,0.92164,0.87513,0.92639,0.84861,0.43856,0.61024,1.05812,0.000454112,0.000454112,0.000454112
25,339.912,0.43075,0.82335,0.98349,0.82639,0.88187,0.90703,0.83111,0.42906,0.69862,1.05356,0.000448291,0.000448291,0.000448291
26,354.321,0.42999,0.83303,0.97383,0.90547,0.83271,0.90606,0.83507,0.41576,0.68824,1.02823,0.00044247,0.00044247,0.00044247
27,368.664,0.41911,0.77676,0.97468,0.87444,0.89652,0.92037,0.84071,0.44168,0.65316,1.04513,0.000436649,0.000436649,0.000436649
28,382.304,0.41251,0.75764,0.96643,0.86755,0.88295,0.9307,0.85216,0.43028,0.61947,1.06905,0.000430828,0.000430828,0.000430828
29,395.893,0.4124,0.79144,0.96861,0.8371,0.91036,0.91612,0.83933,0.44965,0.63843,1.05923,0.000425006,0.000425006,0.000425006
30,409.272,0.41134,0.74384,0.96239,0.87025,0.92309,0.93565,0.8773,0.3944,0.56137,1.02925,0.000419185,0.000419185,0.000419185
31,422.418,0.41469,0.75208,0.96407,0.89305,0.89663,0.93621,0.85476,0.46133,0.59791,1.13291,0.000413364,0.000413364,0.000413364
32,436.073,0.41076,0.74403,0.96564,0.90635,0.90666,0.93416,0.86114,0.43467,0.62525,1.05263,0.000407543,0.000407543,0.000407543
33,449.313,0.41009,0.73758,0.97,0.88773,0.89655,0.93602,0.86007,0.46463,0.73074,1.09762,0.000401722,0.000401722,0.000401722
34,462.748,0.39803,0.68684,0.95556,0.88588,0.90776,0.94973,0.86177,0.46083,0.5456,1.10567,0.0003959,0.0003959,0.0003959
35,476.832,0.40338,0.6873,0.96371,0.92823,0.8797,0.94072,0.86841,0.42594,0.5526,1.02978,0.000390079,0.000390079,0.000390079
36,490.092,0.39674,0.70369,0.96257,0.89118,0.88308,0.92466,0.853,0.40943,0.58849,1.01174,0.000384258,0.000384258,0.000384258
37,503.156,0.3861,0.67472,0.94824,0.91097,0.90545,0.94314,0.87394,0.39927,0.5645,1.01368,0.000378437,0.000378437,0.000378437
38,515.809,0.38217,0.65436,0.93918,0.89896,0.89585,0.92917,0.86007,0.40659,0.60272,1.06321,0.000372616,0.000372616,0.000372616
39,528.596,0.39204,0.65422,0.95556,0.92846,0.87595,0.93412,0.87025,0.37626,0.62512,0.9992,0.000366794,0.000366794,0.000366794
40,541.37,0.37481,0.6255,0.94421,0.88754,0.91591,0.93923,0.87097,0.40952,0.63161,1.04096,0.000360973,0.000360973,0.000360973
41,554.125,0.37883,0.6241,0.94901,0.90278,0.92242,0.94352,0.87347,0.38505,0.52264,1.00654,0.000355152,0.000355152,0.000355152
42,566.732,0.38212,0.63878,0.95167,0.9159,0.89781,0.93351,0.87308,0.43579,0.54873,1.11512,0.000349331,0.000349331,0.000349331
43,579.612,0.37799,0.62077,0.9433,0.89594,0.89244,0.9396,0.88083,0.37818,0.53601,0.99342,0.00034351,0.00034351,0.00034351
44,592.437,0.37115,0.61964,0.94889,0.89316,0.89922,0.94857,0.8828,0.41276,0.51903,1.02275,0.000337688,0.000337688,0.000337688
45,605.486,0.3842,0.60355,0.95959,0.90233,0.89406,0.94043,0.87849,0.42532,0.58635,1.07591,0.000331867,0.000331867,0.000331867
46,618.264,0.37049,0.58189,0.95068,0.86915,0.91964,0.94545,0.88949,0.36065,0.534,0.98484,0.000326046,0.000326046,0.000326046
47,631.058,0.36487,0.58656,0.94081,0.90946,0.9081,0.95391,0.88668,0.37787,0.51751,0.9943,0.000320225,0.000320225,0.000320225
48,643.767,0.36034,0.56616,0.93545,0.91407,0.89433,0.94787,0.89816,0.34958,0.51552,0.96681,0.000314404,0.000314404,0.000314404
49,656.387,0.36401,0.57024,0.93821,0.89853,0.93828,0.94347,0.8775,0.36377,0.48376,0.9887,0.000308582,0.000308582,0.000308582
50,669.095,0.36771,0.55869,0.94253,0.90174,0.91401,0.94317,0.88499,0.37504,0.51024,1.0186,0.000302761,0.000302761,0.000302761
